Australian Bureau of Statistics,,,,
,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,
LANP - 4 Digit Level and ENGP Proficiency in Spoken English by LGA (UR),,,,
Counting: Persons Place of Usual Residence,,,,
,,,,
Filters:,,,,
Default Summation,Persons Place of Usual Residence,,,
LGA (UR),Moonee Valley (C),,,
,,,,
Counting,LGA (UR),LANP - 4 Digit Level,ENGP Proficiency in Spoken English,Count
Persons Place of Usual Residence,Moonee Valley (C),Maltese,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Maltese,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",10
Persons Place of Usual Residence,Moonee Valley (C),Maltese,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Basque,Very well,0
Persons Place of Usual Residence,Moonee Valley (C),Basque,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Basque,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Basque,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Basque,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Basque,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Basque,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Latin,Very well,4
Persons Place of Usual Residence,Moonee Valley (C),Latin,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Latin,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Latin,Not at all,0
